Gene symbol,06h [339],06h [340],06h [341],12h [342],12h [343],12h [344],24h [345],24h [346],24h [347],36h [348],36h [349],36h [350],Peripheral lesion [74],Peripheral lesion [75],Peripheral lesion [124],Sham operated [69],Sham operated [70],Sham operated [123],E12.5 [84],E12.5 [86],E12.5 [87],E17.5 [336],E17.5 [337],E17.5 [338]
Mios,345.602,363.904,430.18,463.657,355.252,334.709,440.247,394.609,409.861,367.601,319.426,314.779,275.55,267.191,264.232,291.268,282.18,276.995,473.736,499.193,540.68,393.485,451.468,437.015
Miox,0,0.549704,0,0,0.487315,1.36616,2.45948,0.439431,0,0,0,0.923105,0,0,0,0,0,0,0,0,0,0,0,0
Mip,2.17816,1.09941,0,0,1.46194,0.683079,0,0,0.810002,3.23403,1.55061,0.923105,2.32205,1.66994,3.46912,1.96802,2.92415,4.01442,6.5873,7.06708,8.65088,6.12088,0,6.93675
Mipep,79.1399,111.04,119.886,109.096,106.235,80.6033,83.6223,78.6582,93.1503,58.2125,108.543,101.542,51.8591,63.4579,53.7714,93.4811,116.966,82.5823,64.7751,65.5311,69.207,104.929,74.069,62.4308
Mipol1,20.3295,21.9882,38.7867,27.274,17.056,25.957,14.7569,21.9716,24.3001,12.9361,1.55061,19.3852,18.5764,10.0197,28.9094,23.6163,16.8138,22.366,6.03836,8.352,10.0927,21.4231,14.1084,11.5613
Mir103-2,0,0,0,0,0,0,0,0,0.810002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir10a,0,0,0,0,0.487315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir1291,0,0,0,0,0.487315,0,0,0,0,1.07801,7.75305,0,0,0,0,0,0,0,0,0,0.720906,0.437206,0,2.31225
Mir143hg,5.80843,4.39763,3.52606,11.6888,6.33509,7.51386,0,5.7126,5.67002,11.8581,15.5061,9.23105,21.6725,23.3792,19.6584,21.6483,20.469,28.6744,29.6428,22.4862,52.6262,21.8603,21.1626,11.5613
Mir17hg,185.144,166.011,218.616,311.702,188.591,161.89,223.813,183.243,193.591,225.304,145.757,162.466,56.5032,30.059,46.255,31.4884,24.8552,38.4237,729.543,674.585,713.697,90.5016,148.138,108.676
Mir181c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437206,0,0
Mir1957b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir22hg,786.316,732.756,959.089,1126.02,835.257,937.184,1047.74,1032.22,1038.42,950.805,967.581,778.177,628.502,579.47,642.944,556.951,432.774,508.684,57.6389,64.8886,46.8589,228.659,246.897,272.846
Mir29c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir486,0,0,0,0,0,0,0,0,0,0,0,0,0.774017,0,0,0,0,0,0,0,0,0,0,0
Mir546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6236,0.726054,16.4911,10.5782,27.274,7.30972,0,68.8654,7.47033,8.91002,9.70209,57.3726,39.6935,0,0,0,0,0,0,0,0,0,4.80926,0,4.6245
Mir6244,0,0,0,0,0,0,0,0,0,0,1.55061,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437206,0,0
Mir6340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6357,0,0,0,0,0,0,0,0,0,0,0,0.923105,0,0,0,0,0,0,0,0,0,0,0,0
Mir6358,0,0,0,0,0,0,0,0.439431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
